EXAME,GRADUACAO,TIPO,HANMI,UKE,NAGE,OBS
1,5-KYU,TACHI WAZA,,SHOMEN UCHI,DAI IKKYO,
1,5-KYU,TACHI WAZA,,SHOMEN UCHI,IRIMI NAGE,
1,5-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,DAI IKKYO,
1,5-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,SHIHO NAGE,
1,5-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,IRIMI NAGE,
1,5-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,KOKYU HO,
1,5-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,SHIHO NAGE,
1,5-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,TENCHI NAGE,
1,5-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,SUMI OTOSHI,
2,4-KYU,TACHI WAZA,,SHOMEN UCHI,DAI IKKYO,
2,4-KYU,TACHI WAZA,,SHOMEN UCHI,DAI NIKYO,
2,4-KYU,TACHI WAZA,,SHOMEN UCHI,DAI SANKYO,
2,4-KYU,TACHI WAZA,,SHOMEN UCHI,DAI YONKYO,
2,4-KYU,TACHI WAZA,,SHOMEN UCHI,IRIMI NAGE,
2,4-KYU,TACHI WAZA,,SHOMEN UCHI,KOKYU HO,
2,4-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,DAI IKKYO,
2,4-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,DAI NIKYO,
2,4-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,DAI SANKYO,
2,4-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,DAI YONKYO,
2,4-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,SHIHO NAGE,
2,4-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,IRIMI NAGE,
2,4-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,KOKYU HO,
2,4-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,KOTEGAESHI,
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,AGO ATE,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,DAI IKKYO,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,DAI NIKYO,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,DAI SANKYO,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,DAI YONKYO,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,SHIHO NAGE,
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,IRIMI NAGE,
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,KOKYU HO,
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,KOTEGAESHI,
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,AGO ATE,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,DAI IKKYO,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,DAI NIKYO,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,DAI SANKYO,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,DAI YONKYO,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,SHIHO NAGE,IRIMI
2,4-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,KOKYU HO,
3,3-KYU,SWARI WAZA,,SHOMEN UCHI,DAI IKKYO,
3,3-KYU,SWARI WAZA,,SHOMEN UCHI,DAI NIKYO,
3,3-KYU,SWARI WAZA,,SHOMEN UCHI,DAI SANKYO,
3,3-KYU,SWARI WAZA,,SHOMEN UCHI,DAI YONKYO,
3,3-KYU,SWARI WAZA,,SHOMEN UCHI,IRIMI NAGE,
3,3-KYU,SWARI WAZA,AI HANMI,KATATE-TORI,DAI IKKYO,
3,3-KYU,SWARI WAZA,AI HANMI,KATATE-TORI,DAI NIKYO,
3,3-KYU,SWARI WAZA,AI HANMI,KATATE-TORI,DAI SANKYO,
3,3-KYU,SWARI WAZA,AI HANMI,KATATE-TORI,DAI YONKYO,
3,3-KYU,SWARI WAZA,AI HANMI,KATATE-TORI,IRIMI NAGE,
3,3-KYU,HANMI HANDACHI WAZA,GYAKU HANMI,KATATE-TORI,SHIHO NAGE,
3,3-KYU,TACHI WAZA,,SHOMEN UCHI,SHIHO NAGE,
3,3-KYU,TACHI WAZA,,SHOMEN UCHI,KOTEGAESHI,
3,3-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,KOKYU NAGE,
3,3-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,KAITEN NAGE ,UCHI/SOTO
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,AGO ATE,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,DAI IKKYO,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,DAI NIKYO,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,DAI SANKYO,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,DAI YONKYO,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,KAITEN NAGE,UCHI/SOTO
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,AGO ATE,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,DAI IKKYO,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,DAI NIKYO,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,DAI SANKYO,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,DAI YONKYO,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,KATA-TORI,SHIHO NAGE,TENSHIN
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,TENCHI NAGE,
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,DAI IKKYO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,DAI NIKYO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,DAI SANKYO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,DAI YONKYO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,SHIHO NAGE,
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,IRIMI NAGE,
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,KOKYU HO,
3,3-KYU,TACHI WAZA,GYAKU HANMI,RYOTE TORI,KOTEGAESHI,
3,3-KYU,TACHI WAZA,GYAKU HANMI,YOKOMEN UCHI,DAI IKKYO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,YOKOMEN UCHI,DAI NIKYO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,YOKOMEN UCHI,DAI SANKYO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,YOKOMEN UCHI,DAI YONKYO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,YOKOMEN UCHI,SHIHO NAGE,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,YOKOMEN UCHI,IRIMI NAGE,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,YOKOMEN UCHI,KOKYU HO,IRIMI
3,3-KYU,TACHI WAZA,GYAKU HANMI,YOKOMEN UCHI,KOTEGAESHI,IRIMI
3,3-KYU,TACHI WAZA,,TSUKI,KOTEGAESHI,
3,3-KYU,TACHI WAZA,,TSUKI,IRIMI NAGE,
3,3-KYU,TACHI WAZA,,TSUKI,KOKYU HO,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATATE-TORI,DAI IKKYO,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATATE-TORI,DAI NIKYO,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATATE-TORI,DAI SANKYO,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATATE-TORI,DAI YONKYO,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATATE-TORI,IRIMI NAGE,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATATE-TORI,KOTEGAESHI,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATA-TORI,DAI IKKYO,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATA-TORI,DAI NIKYO,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATA-TORI,DAI SANKYO,
4,2-KYU,SWARI WAZA,GYAKU HANMI,KATA-TORI,DAI YONKYO,
4,2-KYU,SWARI WAZA,,SHOMEN UCHI,IRIMI NAGE,
4,2-KYU,SWARI WAZA,,SHOMEN UCHI,KOTEGAESHI,
4,2-KYU,HANMI HANDACHI WAZA,,SHOMEN UCHI,DAI IKKYO,
4,2-KYU,HANMI HANDACHI WAZA,,SHOMEN UCHI,DAI NIKYO,
4,2-KYU,HANMI HANDACHI WAZA,,SHOMEN UCHI,DAI SANKYO,
4,2-KYU,HANMI HANDACHI WAZA,,SHOMEN UCHI,DAI YONKYO,
4,2-KYU,HANMI HANDACHI WAZA,,SHOMEN UCHI,SHIHO NAGE,
4,2-KYU,HANMI HANDACHI WAZA,,SHOMEN UCHI,IRIMI NAGE,
4,2-KYU,HANMI HANDACHI WAZA,GYAKU HANMI,RYOTE TORI,SHIHO NAGE,
4,2-KYU,TACHI WAZA,,SHOMEN UCHI,KAITEN NAGE,UCHI/SOTO
4,2-KYU,TACHI WAZA,,SHOMEN UCHI,TENCHI NAGE,
4,2-KYU,TACHI WAZA,,SHOMEN UCHI,SUMI OTOSHI,
4,2-KYU,TACHI WAZA,,SHOMEN UCHI,KOKYU NAGE,
4,2-KYU,TACHI WAZA,,SHOMEN UCHI,HIJIKIME,
4,2-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,HIJIKIME,
4,2-KYU,TACHI WAZA,AI HANMI,KATATE-TORI,KOSHI NAGE,
4,2-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,HIJIKIME,
4,2-KYU,TACHI WAZA,GYAKU HANMI,KATATE-TORI,KOKYU NAGE,
